id,frequency
GO:0005575,84638
GO:0110165,83893
GO:0005622,67293
GO:0043226,58004
GO:0043229,55591
GO:0043227,52786
GO:0005737,50729
GO:0043231,49741
GO:0005634,26986
GO:0016020,23714
GO:0071944,19258
GO:0005829,17521
GO:0032991,16151
GO:0005886,15740
GO:0043228,15480
GO:0043232,15459
GO:0031974,15425
GO:0043233,15423
GO:0070013,15418
GO:0031981,13309
GO:0012505,12355
GO:0005654,10498
GO:0005739,8681
GO:0031090,7555
GO:0031982,6949
GO:0005576,6525
GO:0042995,6393
GO:0120025,6291
GO:0030054,5757
GO:0005856,5535
GO:1902494,5471
GO:0005783,5334
GO:0097708,5110
GO:0031410,5097
GO:0005615,4909
GO:0031975,4697
GO:0031967,4292
GO:0098588,4214
GO:0005694,4008
GO:0005794,3924
GO:0140513,3759
GO:0015630,3477
GO:0009536,3241
GO:0030312,3225
GO:0099080,3154
GO:0045202,3098
GO:0005730,3069
GO:0005773,3063
GO:0098796,2996
GO:0140535,2864
GO:0043005,2833
GO:0098590,2782
GO:0005929,2776
GO:1990904,2641
GO:0032993,2512
GO:0070161,2511
GO:0031984,2510
GO:1990234,2348
GO:0043230,2255
GO:0065010,2251
GO:0000785,2214
GO:1903561,2168
GO:0009507,2164
GO:0005768,2093
GO:0005815,2073
GO:0005740,2060
GO:0070062,2058
GO:0036477,1931
GO:0099081,1923
GO:0031966,1920
GO:0005911,1902
GO:0099512,1896
GO:0000323,1826
GO:0099503,1738
GO:0098827,1665
GO:0042175,1664
GO:0012506,1631
GO:0030424,1599
GO:0016604,1587
GO:0005789,1585
GO:0030659,1584
GO:0099568,1564
GO:0031012,1560
GO:0009986,1559
GO:0005618,1500
GO:0019866,1497
GO:0044297,1475
GO:0005840,1414
GO:0005635,1407
GO:0005938,1398
GO:0005743,1360
GO:0043025,1335
GO:0098793,1321
GO:0005813,1298
GO:0045177,1260
GO:0098797,1255
GO:0015629,1240
GO:0032838,1236
GO:0044391,1217
GO:0005764,1213
GO:0098798,1185
GO:0098794,1180
GO:0005774,1178
GO:0097447,1162
GO:0048471,1161
GO:0097014,1159
GO:0030425,1159
GO:0019867,1141
GO:0005759,1137
GO:0098687,1133
GO:0030141,1122
GO:0099513,1060
GO:0005667,1041
GO:0098552,1032
GO:1990351,1018
GO:0005819,990
GO:0042579,967
GO:0005777,964
GO:1902495,952
GO:0061695,942
GO:0031968,939
GO:0098978,933
GO:0022626,897
GO:0098791,887
GO:0030139,877
GO:0000793,867
GO:0016324,865
GO:0098852,859
GO:0009526,851
GO:0055044,832
GO:0009506,832
GO:0062023,825
GO:0030427,817
GO:0000325,794
GO:0043292,791
GO:0035770,785
GO:0000228,785
GO:0018995,778
GO:0009274,777
GO:0043657,770
GO:0033643,760
GO:0000775,754
GO:0036464,751
GO:0150034,745
GO:0009532,726
GO:0005874,724
GO:0030133,723
GO:0097060,719
GO:0009570,718
GO:0016607,715
GO:0015934,715
GO:0045178,695
GO:0000139,690
GO:0030016,663
GO:0031252,660
GO:0005802,635
GO:0032153,632
GO:0000322,632
GO:0030055,627
GO:0009925,616
GO:0000151,615
GO:0000324,605
GO:0009579,599
GO:0009941,588
GO:0099572,585
GO:0010008,582
GO:0060187,577
GO:0031965,573
GO:1904949,573
GO:0030017,571
GO:0043235,570
GO:0005765,569
GO:0005769,569
GO:0045335,567
GO:0098984,565
GO:0098800,561
GO:1990204,561
GO:0005925,556
GO:0009897,553
GO:0005930,552
GO:0030135,547
GO:0051286,546
GO:1905368,542
GO:0005681,540
GO:0000779,527
GO:0016323,524
GO:0032279,519
GO:0090575,513
GO:0005770,510
GO:0015935,507
GO:0031253,506
GO:0043656,498
GO:0034702,497
GO:0033646,497
GO:0005741,495
GO:0070382,485
GO:0014069,485
GO:0000776,483
GO:0036064,482
GO:0030863,477
GO:0042170,472
GO:0072686,460
GO:0031976,455
GO:0022625,453
GO:0009534,446
GO:0008021,444
GO:0098857,440
GO:0045121,438
GO:0031514,438
GO:0045211,438
GO:0000313,431
GO:0044306,431
GO:0034357,427
GO:0005761,425
GO:0098562,416
GO:0070469,411
GO:1905369,411
GO:0030880,410
GO:0062039,406
GO:0062040,405
GO:0030313,405
GO:0043679,405
GO:0000428,403
GO:0098858,402
GO:0098803,397
